no,name,type,ingredients,price,size,vegetarian,dairy,fish,ingredient_count
18,Pastrami,Pizza,"tomato, cheese, gorgonzola, pastrami",64,regular,False,True,False,4
18,Pastrami,Pizza,"tomato, cheese, gorgonzola, pastrami",108,family,False,True,False,4
19,Pacone,Pizza,"tomato, cheese, gorgonzola, bacon, shrimp, asparagus",66,regular,False,True,False,6
19,Pacone,Pizza,"tomato, cheese, gorgonzola, bacon, shrimp, asparagus",113,family,False,True,False,6
20,Quattro Stagioni,Pizza,"tomato, cheese, mushroom, shrimp, ham, artichoke, peppers",68,regular,False,True,True,7
20,Quattro Stagioni,Pizza,"tomato, cheese, mushroom, shrimp, ham, artichoke, peppers",115,family,False,True,True,7
21,Shawarma,Pizza,"tomato, cheese, onion, shawarma",65,regular,False,True,False,4
21,Shawarma,Pizza,"tomato, cheese, onion, shawarma",110,family,False,True,False,4
22,Spinach & Gorgonzola,Pizza,"tomato, cheese, spinach, gorgonzola",63,regular,True,True,False,4
22,Spinach & Gorgonzola,Pizza,"tomato, cheese, spinach, gorgonzola",107,family,True,True,False,4
23,Spinach & Brie,Pizza,"tomato, cheese, spinach, brie",61,regular,True,True,False,4
23,Spinach & Brie,Pizza,"tomato, cheese, spinach, brie",105,family,True,True,False,4
24,Americana,Pizza,"tomato, cheese, onion, mushroom, strips of meat",63,regular,False,True,False,5
24,Americana,Pizza,"tomato, cheese, onion, mushroom, strips of meat",115,family,False,True,False,5
25,Pollo,Pizza,"tomato, cheese, chicken, peppers, green peppers",68,regular,False,True,False,5
25,Pollo,Pizza,"tomato, cheese, chicken, peppers, green peppers",115,family,False,True,False,5
26,Mortadella Rucola,Pizza,"tomato, cheese, tomato slices, mortadella, rocket",66,regular,False,True,False,5
26,Mortadella Rucola,Pizza,"tomato, cheese, tomato slices, mortadella, rocket",113,family,False,True,False,5
27,Pollo & Rucola,Pizza,"tomato, cheese, tomato slices, chicken, rocket",68,regular,False,True,False,5
27,Pollo & Rucola,Pizza,"tomato, cheese, tomato slices, chicken, rocket",115,family,False,True,False,5
28,Pesto,Pizza,"tomato, cheese, tomato slices, pesto",57,regular,True,True,False,4
28,Pesto,Pizza,"tomato, cheese, tomato slices, pesto",100,family,True,True,False,4
29,Pollo & Pesto,Pizza,"tomato, cheese, tomato slices, pesto, chicken",68,regular,False,True,False,5
29,Pollo & Pesto,Pizza,"tomato, cheese, tomato slices, pesto, chicken",115,family,False,True,False,5
30,Bianca,Pizza,"cheese, potato, bacon, rosemary",57,regular,False,True,False,4
30,Bianca,Pizza,"cheese, potato, bacon, rosemary",100,family,False,True,False,4
31,Spaghetti Bolognese,Pasta,"spaghetti, meat sauce, parmesan",55,regular,False,True,False,3
32,Spaghetti Carbonara,Pasta,"spaghetti, bacon, egg, parmesan, cream sauce",60,regular,False,True,False,5
33,Fettucine Bolognese,Pasta,"fettucine, meat sauce, parmesan",57,regular,False,True,False,3
34,Fettucine alla Crema,Pasta,"fettucine, bacon, onion, peas, mushroom, cream sauce, parmesan",64,regular,False,True,False,7
35,Fettucine al Gorgonzola,Pasta,"fettucine, gorgonzola",64,regular,True,True,False,2
36,Fettucine al Salmone,Pasta,"fettucine, smoked salmon, cream sauce",66,regular,False,True,True,3
37,Tortellini Bolognese,Pasta,"tortellini, meat sauce, parmesan",61,regular,False,True,False,3
38,Tortellini alla Panna,Pasta,"tortellini, ham, onion, mushroom, cream sauce, parmesan",64,regular,False,True,False,6
39,Tortellini al Gorgonzola,Pasta,"tortellini, gorgonzola",65,regular,True,True,False,2
40,Lasagne,Pasta,"pasta, meat sauce",59,regular,False,True,False,2
41,Ravioli al Forno,Pasta,"ravioli, meat sauce",67,regular,False,True,False,2
42,Tortellini al Pesto,Pasta,"tortellini, ham, pesto",67,regular,False,True,False,3
43,Tortellini Primavera,Pasta,"tortellini, zucchini, shrimp, cream sauce",68,regular,False,True,True,4
44,Ravioli Emiliana,Pasta,"ravioli, parma ham, olive oil, onion, pesto, parmesan, cream sauce",72,regular,False,True,False,7
45,Cannelloni vegetariani,Pasta,"cannelloni, spinach, ricotta, tomato, cheese",68,regular,True,True,False,5
46,Ravioloni ai funghi di bosco con noci,Pasta,"ravioli, ricotta, spinach, mushroom, walnut, parmesan, cream sauce",69,regular,True,True,False,7
47,Penne al tartufo e filetto,Pasta,"penne, vitello, truffle sauce, parmesan, mushroom, cream sauce",74,regular,False,True,False,6
48,Pennette all amatriciana con carne,Pasta,"penne, tomato, onion, bacon, vitello, parmesan",69,regular,False,True,False,6
49,Tronchetti di ricotta,Pasta,"tronchetti, spinach, ricotta, tomato, cheese",69,regular,True,True,False,5
50,Pennette con porchetta e zucca,Pasta,"penne, slices of piglet, zucchini, pesto",69,regular,False,True,False,4
51,Pennette con crema di tartufo e pancetta,Pasta,"penne, pancetta, truffle sauce",69,regular,False,True,False,3
70,Diavola,Pizza,"tomato, cheese, minced meat, onion, chili",60,regular,False,True,False,5
70,Diavola,Pizza,"tomato, cheese, minced meat, onion, chili",103,family,False,True,False,5
71,Afrodite,Pizza,"tomato, cheese, potato, strips of meat, pesto, tomato slices",68,regular,False,True,False,6
71,Afrodite,Pizza,"tomato, cheese, potato, strips of meat, pesto, tomato slices",115,family,False,True,False,6
72,Melanzane,Pizza,"tomato, cheese, eggplant, zucchini, tomato slices, garlic",68,regular,True,True,False,6
72,Melanzane,Pizza,"tomato, cheese, eggplant, zucchini, tomato slices, garlic",115,family,True,True,False,6
73,La Sicilia,Pizza,"tomato, cheese, eggplant, feta, pesto, oregano",68,regular,True,True,False,6
73,La Sicilia,Pizza,"tomato, cheese, eggplant, feta, pesto, oregano",115,family,True,True,False,6
74,Calabrisella,Pizza,"tomato, cheese, zucchini, salami, pecorino",70,regular,False,True,False,5
74,Calabrisella,Pizza,"tomato, cheese, zucchini, salami, pecorino",117,family,False,True,False,5
75,Pizza a la Rikardo,Pizza,"tomato, cheese, eggplant, pecorino, minced meat, parsley",70,regular,False,True,False,6
75,Pizza a la Rikardo,Pizza,"tomato, cheese, eggplant, pecorino, minced meat, parsley",117,family,False,True,False,6
76,Al Salmone,Pizza,"tomato, cheese, smoked salmon, onion, rocket",70,regular,False,True,True,5
76,Al Salmone,Pizza,"tomato, cheese, smoked salmon, onion, rocket",117,family,False,True,True,5
77,Chorizo con peperoncino,Pizza,"tomato, cheese, chorizo, jalapeño, rocket, parmesan",70,regular,False,True,False,6
77,Chorizo con peperoncino,Pizza,"tomato, cheese, chorizo, jalapeño, rocket, parmesan",117,family,False,True,False,6
78,Valtellina,Pizza,"tomato, cheese, bresaola, rocket, parmesan",70,regular,False,True,False,5
78,Valtellina,Pizza,"tomato, cheese, bresaola, rocket, parmesan",117,family,False,True,False,5
79,Sole,Pizza,"mascarpone, cheese, smoked salmon, sundried tomato, spinach, rocket",78,regular,False,True,True,6
79,Sole,Pizza,"mascarpone, cheese, smoked salmon, sundried tomato, spinach, rocket",126,family,False,True,True,6
80,Condita,Pizza,"mascarpone, cheese, pastrami, sundried tomato, potato, pecorino",78,regular,False,True,False,6
80,Condita,Pizza,"mascarpone, cheese, pastrami, sundried tomato, potato, pecorino",126,family,False,True,False,6
81,Chitarrella,Pizza,"tomato, cheese, parmesan, rocket, pesto, salami, tomato slices",78,regular,False,True,False,7
81,Chitarrella,Pizza,"tomato, cheese, parmesan, rocket, pesto, salami, tomato slices",126,family,False,True,False,7
82,Straccitella,Pizza,"straccitella, broccoli, tomato slices, potato, vitello, truffle sauce",83,regular,False,True,False,6
82,Straccitella,Pizza,"straccitella, broccoli, tomato slices, potato, vitello, truffle sauce",133,family,False,True,False,6
82 special,Straccitella,Pizza,"straccitella, broccoli, tomato slices, potato, eggplant, truffle sauce",83,regular,True,True,False,6
82 special,Straccitella,Pizza,"straccitella, broccoli, tomato slices, potato, eggplant, truffle sauce",133,family,True,True,False,6
83,Vitello,Pizza,"tomato, cheese, vitello, onion, capers, rocket, pesto",72,regular,False,True,False,7
83,Vitello,Pizza,"tomato, cheese, vitello, onion, capers, rocket, pesto",120,family,False,True,False,7
84,Ventura,Pizza,"tomato, cheese, ricotta, spinach, mortadella, tomato slices",72,regular,False,True,False,6
84,Ventura,Pizza,"tomato, cheese, ricotta, spinach, mortadella, tomato slices",120,family,False,True,False,6
